,league,season,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR
1276,bundesliga_2,2022,2022-10-30,SV Sandhausen,Eintracht Braunschweig,2,2,0,2,D
1277,bundesliga_2,2022,2022-11-04,SV Darmstadt 98,Hannover 96,1,0,0,1,H
1278,bundesliga_2,2022,2022-11-04,Hansa Rostock,SV Sandhausen,0,1,0,0,A
1279,bundesliga_2,2022,2022-11-05,Fortuna Dusseldorf,FC St. Pauli,1,0,1,0,H
1280,bundesliga_2,2022,2022-11-05,FC Heidenheim,SC Paderborn 07,3,0,1,2,H
1281,bundesliga_2,2022,2022-11-05,Karlsruher SC,Holstein Kiel,1,4,0,1,A
1282,bundesliga_2,2022,2022-11-05,Arminia Bielefeld,FC Kaiserslautern,2,3,0,2,A
1283,bundesliga_2,2022,2022-11-06,FC Nurnberg,FC Magdeburg,1,2,0,1,A
1284,bundesliga_2,2022,2022-11-06,Hamburger SV,Jahn Regensburg,3,1,1,2,H
1285,bundesliga_2,2022,2022-11-06,Eintracht Braunschweig,SpVgg Greuther Furth,0,1,0,0,A
1286,bundesliga_2,2022,2022-11-08,Hannover 96,Fortuna Dusseldorf,2,0,2,0,H
1287,bundesliga_2,2022,2022-11-08,SC Paderborn 07,Arminia Bielefeld,0,2,0,0,A
1288,bundesliga_2,2022,2022-11-08,FC St. Pauli,Holstein Kiel,0,0,0,0,D
1289,bundesliga_2,2022,2022-11-08,FC Kaiserslautern,Karlsruher SC,2,0,1,1,H
1290,bundesliga_2,2022,2022-11-09,Jahn Regensburg,Eintracht Braunschweig,1,1,1,0,D
1291,bundesliga_2,2022,2022-11-09,SpVgg Greuther Furth,Hamburger SV,1,0,1,0,H
1292,bundesliga_2,2022,2022-11-09,SV Sandhausen,FC Heidenheim,3,4,0,3,A
1293,bundesliga_2,2022,2022-11-09,Hansa Rostock,FC Nurnberg,1,1,0,1,D
1294,bundesliga_2,2022,2022-11-10,FC Magdeburg,SV Darmstadt 98,0,1,0,0,A
1295,bundesliga_2,2022,2022-11-11,Fortuna Dusseldorf,FC Kaiserslautern,1,2,1,0,A
1296,bundesliga_2,2022,2022-11-11,Holstein Kiel,Hannover 96,1,1,1,0,D
1297,bundesliga_2,2022,2022-11-12,Hamburger SV,SV Sandhausen,4,2,1,3,H
1298,bundesliga_2,2022,2022-11-12,FC Heidenheim,Jahn Regensburg,5,4,3,2,H
1299,bundesliga_2,2022,2022-11-12,Karlsruher SC,FC St. Pauli,4,4,3,1,D
1300,bundesliga_2,2022,2022-11-12,Eintracht Braunschweig,Hansa Rostock,0,1,0,0,A
1301,bundesliga_2,2022,2022-11-13,FC Nurnberg,SC Paderborn 07,2,1,1,1,H
1302,bundesliga_2,2022,2022-11-13,SV Darmstadt 98,SpVgg Greuther Furth,1,1,1,0,D
1303,bundesliga_2,2022,2022-11-13,Arminia Bielefeld,FC Magdeburg,3,1,1,2,H
1304,bundesliga_2,2022,2023-01-27,Fortuna Dusseldorf,FC Magdeburg,3,2,2,1,H
1305,bundesliga_2,2022,2023-01-27,Karlsruher SC,SC Paderborn 07,0,1,0,0,A
1306,bundesliga_2,2022,2023-01-28,FC Heidenheim,Hansa Rostock,2,0,0,2,H
1307,bundesliga_2,2022,2023-01-28,SV Darmstadt 98,Jahn Regensburg,2,0,2,0,H
1308,bundesliga_2,2022,2023-01-28,Holstein Kiel,SpVgg Greuther Furth,2,1,0,2,H
1309,bundesliga_2,2022,2023-01-28,Hannover 96,FC Kaiserslautern,1,3,1,0,A
1310,bundesliga_2,2022,2023-01-29,FC Nurnberg,FC St. Pauli,0,1,0,0,A
1311,bundesliga_2,2022,2023-01-29,Hamburger SV,Eintracht Braunschweig,4,2,2,2,H
